Datetime,Date,Time,Temp,pH ,mV[pH],ORP[mV],EC,EC Abs,RES[KOhm-cm],TDS [ppt],Sal.[psu],Sigma T[sT],Press.[psi],D.O.[%],D.O.[mg/L]
11/17/2021 9:54:32 p. m.,2021/11/17,9:54:32 p. m.,16.97,5.47,102.9,249.2,655,555,1.5,0.328,0.32,0,10.812,57.5,4.05
11/17/2021 9:54:37 p. m.,2021/11/17,9:54:37 p. m.,16.97,5.47,103.1,249.2,655,555,1.5,0.328,0.32,0,10.811,57.3,4.04
11/17/2021 9:54:42 p. m.,2021/11/17,9:54:42 p. m.,16.97,5.47,103,249.2,655,555,1.5,0.328,0.32,0,10.813,56.9,4.01
11/17/2021 9:54:47 p. m.,2021/11/17,9:54:47 p. m.,16.97,5.47,103,249.2,655,555,1.5,0.328,0.32,0,10.813,56.6,3.99
11/17/2021 9:54:52 p. m.,2021/11/17,9:54:52 p. m.,16.97,5.47,103.1,249.2,655,555,1.5,0.328,0.32,0,10.815,56.4,3.98
11/17/2021 9:54:57 p. m.,2021/11/17,9:54:57 p. m.,16.96,5.47,103.1,249.2,655,555,1.5,0.328,0.32,0,10.813,56.3,3.97
11/17/2021 9:55:02 p. m.,2021/11/17,9:55:02 p. m.,16.96,5.47,103,249.2,655,555,1.5,0.328,0.32,0,10.813,56.2,3.96
11/17/2021 9:55:07 p. m.,2021/11/17,9:55:07 p. m.,16.96,5.47,103,249.2,655,555,1.5,0.328,0.32,0,10.815,56,3.95
11/17/2021 9:55:12 p. m.,2021/11/17,9:55:12 p. m.,16.96,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.814,55.9,3.94
11/17/2021 9:55:17 p. m.,2021/11/17,9:55:17 p. m.,16.96,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.815,56.6,3.99
11/17/2021 9:55:22 p. m.,2021/11/17,9:55:22 p. m.,16.96,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.813,56.9,4.01
11/17/2021 9:55:27 p. m.,2021/11/17,9:55:27 p. m.,16.96,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.814,56.8,4.01
11/17/2021 9:55:32 p. m.,2021/11/17,9:55:32 p. m.,16.96,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.814,57.2,4.03
11/17/2021 9:55:37 p. m.,2021/11/17,9:55:37 p. m.,16.96,5.47,103,249.2,655,555,1.5,0.328,0.32,0,10.812,58.2,4.1
11/17/2021 9:55:42 p. m.,2021/11/17,9:55:42 p. m.,16.96,5.47,103.1,249.2,655,555,1.5,0.328,0.32,0,10.814,58.2,4.1
11/17/2021 9:55:47 p. m.,2021/11/17,9:55:47 p. m.,16.96,5.47,103,249.2,655,555,1.5,0.328,0.32,0,10.816,58,4.09
11/17/2021 9:55:52 p. m.,2021/11/17,9:55:52 p. m.,16.96,5.47,102.9,249.2,655,555,1.5,0.328,0.32,0,10.814,57.8,4.07
11/17/2021 9:55:57 p. m.,2021/11/17,9:55:57 p. m.,16.96,5.47,103.1,249.2,655,555,1.5,0.328,0.32,0,10.814,57.7,4.07
11/17/2021 9:56:02 p. m.,2021/11/17,9:56:02 p. m.,16.96,5.47,103,249.2,655,555,1.5,0.328,0.32,0,10.814,57.7,4.07
11/17/2021 9:56:07 p. m.,2021/11/17,9:56:07 p. m.,16.96,5.47,103,249.2,655,555,1.5,0.328,0.32,0,10.814,57.8,4.08
11/17/2021 9:56:12 p. m.,2021/11/17,9:56:12 p. m.,16.96,5.47,103,249.2,655,555,1.5,0.328,0.32,0,10.814,58.1,4.1
11/17/2021 9:56:17 p. m.,2021/11/17,9:56:17 p. m.,16.96,5.47,103.1,249.2,655,555,1.5,0.328,0.32,0,10.814,58,4.09
11/17/2021 9:56:22 p. m.,2021/11/17,9:56:22 p. m.,16.96,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.815,58.3,4.11
11/17/2021 9:56:27 p. m.,2021/11/17,9:56:27 p. m.,16.96,5.47,103,249.2,655,555,1.5,0.328,0.32,0,10.813,58.4,4.12
11/17/2021 9:56:32 p. m.,2021/11/17,9:56:32 p. m.,16.96,5.47,103,249.2,655,555,1.5,0.328,0.32,0,10.811,58.2,4.1
11/17/2021 9:56:37 p. m.,2021/11/17,9:56:37 p. m.,16.96,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.81,58,4.09
11/17/2021 9:56:42 p. m.,2021/11/17,9:56:42 p. m.,16.96,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.81,57.7,4.07
11/17/2021 9:56:47 p. m.,2021/11/17,9:56:47 p. m.,16.96,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.81,57.7,4.07
11/17/2021 9:56:52 p. m.,2021/11/17,9:56:52 p. m.,16.95,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.809,58.2,4.1
11/17/2021 9:56:57 p. m.,2021/11/17,9:56:57 p. m.,16.95,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.811,58.6,4.13
11/17/2021 9:57:02 p. m.,2021/11/17,9:57:02 p. m.,16.95,5.47,102.9,249.2,656,555,1.5,0.328,0.32,0,10.813,58.6,4.13
11/17/2021 9:57:07 p. m.,2021/11/17,9:57:07 p. m.,16.96,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.813,58.7,4.14
11/17/2021 9:57:12 p. m.,2021/11/17,9:57:12 p. m.,16.96,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.813,58.9,4.16
11/17/2021 9:57:17 p. m.,2021/11/17,9:57:17 p. m.,16.95,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.813,60,4.23
11/17/2021 9:57:22 p. m.,2021/11/17,9:57:22 p. m.,16.95,5.47,103.1,249.2,656,555,1.5,0.328,0.32,0,10.813,59.7,4.21
11/17/2021 9:57:27 p. m.,2021/11/17,9:57:27 p. m.,16.95,5.47,103.1,249.2,655,555,1.5,0.328,0.32,0,10.812,59.4,4.19
11/17/2021 9:57:32 p. m.,2021/11/17,9:57:32 p. m.,16.95,5.47,103.1,249.2,656,555,1.5,0.328,0.32,0,10.813,59.3,4.18
11/17/2021 9:57:37 p. m.,2021/11/17,9:57:37 p. m.,16.95,5.47,103.1,249.2,656,555,1.5,0.328,0.32,0,10.81,59.5,4.19
11/17/2021 9:57:42 p. m.,2021/11/17,9:57:42 p. m.,16.95,5.47,103.1,249.2,656,555,1.5,0.328,0.32,0,10.811,59,4.16
11/17/2021 9:57:47 p. m.,2021/11/17,9:57:47 p. m.,16.95,5.47,103.1,249.2,656,555,1.5,0.328,0.32,0,10.812,58.9,4.15
11/17/2021 9:57:52 p. m.,2021/11/17,9:57:52 p. m.,16.95,5.47,103.2,249.2,655,555,1.5,0.328,0.32,0,10.812,58.7,4.14
11/17/2021 9:57:57 p. m.,2021/11/17,9:57:57 p. m.,16.95,5.47,103.1,249.2,655,555,1.5,0.328,0.32,0,10.813,58.5,4.13
11/17/2021 9:58:02 p. m.,2021/11/17,9:58:02 p. m.,16.95,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.811,58.8,4.14
11/17/2021 9:58:07 p. m.,2021/11/17,9:58:07 p. m.,16.95,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.814,58.9,4.15
11/17/2021 9:58:12 p. m.,2021/11/17,9:58:12 p. m.,16.95,5.47,103,249.2,655,555,1.5,0.328,0.32,0,10.814,59.1,4.17
11/17/2021 9:58:17 p. m.,2021/11/17,9:58:17 p. m.,16.95,5.47,103.1,249.2,656,555,1.5,0.328,0.32,0,10.813,58.9,4.16
11/17/2021 9:58:22 p. m.,2021/11/17,9:58:22 p. m.,16.95,5.47,103.1,249.2,656,555,1.5,0.328,0.32,0,10.814,58.5,4.13
11/17/2021 9:58:27 p. m.,2021/11/17,9:58:27 p. m.,16.94,5.47,103,249.2,656,555,1.5,0.328,0.32,0,10.816,58.5,4.13
11/17/2021 9:58:32 p. m.,2021/11/17,9:58:32 p. m.,16.94,5.47,103.1,249.2,656,555,1.5,0.328,0.32,0,10.816,59.1,4.17
11/17/2021 9:58:37 p. m.,2021/11/17,9:58:37 p. m.,16.94,5.47,103.1,249.2,656,555,1.5,0.328,0.32,0,10.815,59.6,4.21
11/17/2021 9:58:42 p. m.,2021/11/17,9:58:42 p. m.,16.94,5.47,103.1,249.1,656,555,1.5,0.328,0.32,0,10.814,59.6,4.2
11/17/2021 9:58:47 p. m.,2021/11/17,9:58:47 p. m.,16.94,5.47,103.1,249.1,656,555,1.5,0.328,0.32,0,10.814,59.4,4.19
11/17/2021 9:58:52 p. m.,2021/11/17,9:58:52 p. m.,16.94,5.47,103.2,249.2,656,555,1.5,0.328,0.32,0,10.815,59.4,4.19
11/17/2021 9:58:57 p. m.,2021/11/17,9:58:57 p. m.,16.94,5.47,103.1,249.1,656,555,1.5,0.328,0.32,0,10.815,59.2,4.17
11/17/2021 9:59:02 p. m.,2021/11/17,9:59:02 p. m.,16.94,5.47,103.1,249.1,656,555,1.5,0.328,0.32,0,10.815,58.9,4.16
11/17/2021 9:59:07 p. m.,2021/11/17,9:59:07 p. m.,16.94,5.47,103,249.1,656,555,1.5,0.328,0.32,0,10.813,58.8,4.15
11/17/2021 9:59:12 p. m.,2021/11/17,9:59:12 p. m.,16.94,5.47,103,249.1,656,555,1.5,0.328,0.32,0,10.814,58.7,4.14
11/17/2021 9:59:17 p. m.,2021/11/17,9:59:17 p. m.,16.94,5.47,103.1,249.1,656,555,1.5,0.328,0.32,0,10.813,58.4,4.12
11/17/2021 9:59:22 p. m.,2021/11/17,9:59:22 p. m.,16.94,5.47,103,249.1,655,555,1.5,0.328,0.32,0,10.815,58.3,4.12
11/17/2021 9:59:27 p. m.,2021/11/17,9:59:27 p. m.,16.94,5.47,103.1,249.1,655,555,1.5,0.328,0.32,0,10.817,58.4,4.12
11/17/2021 9:59:32 p. m.,2021/11/17,9:59:32 p. m.,16.94,5.47,103.1,249.1,656,555,1.5,0.328,0.32,0,10.814,58.9,4.16
11/17/2021 9:59:37 p. m.,2021/11/17,9:59:37 p. m.,16.94,5.47,103.1,249.1,655,555,1.5,0.328,0.32,0,10.815,58.9,4.15
11/17/2021 9:59:42 p. m.,2021/11/17,9:59:42 p. m.,16.94,5.47,103.1,249.1,656,555,1.5,0.328,0.32,0,10.813,58.8,4.15
11/17/2021 9:59:47 p. m.,2021/11/17,9:59:47 p. m.,16.94,5.47,103.1,249.2,655,555,1.5,0.328,0.32,0,10.812,59.2,4.17
11/17/2021 9:59:52 p. m.,2021/11/17,9:59:52 p. m.,16.94,5.47,103.1,249.2,655,555,1.5,0.328,0.32,0,10.813,59.3,4.18
11/17/2021 9:59:57 p. m.,2021/11/17,9:59:57 p. m.,16.94,5.47,103.1,249.2,655,555,1.5,0.328,0.32,0,10.815,59.1,4.17
11/17/2021 10:00:02 p. m.,2021/11/17,10:00:02 p. m.,16.94,5.47,103.1,249.2,655,555,1.5,0.328,0.32,0,10.814,58.8,4.15
11/17/2021 10:00:07 p. m.,2021/11/17,10:00:07 p. m.,16.94,5.47,103.1,249.2,655,555,1.5,0.328,0.32,0,10.814,58.9,4.16
11/17/2021 10:00:12 p. m.,2021/11/17,10:00:12 p. m.,16.94,5.47,103.1,249.2,656,555,1.5,0.328,0.32,0,10.811,60.3,4.25
11/17/2021 10:00:17 p. m.,2021/11/17,10:00:17 p. m.,16.94,5.47,103.1,249.2,655,555,1.5,0.328,0.32,0,10.815,60.9,4.3
11/17/2021 10:00:22 p. m.,2021/11/17,10:00:22 p. m.,16.94,5.47,103.1,249.2,655,555,1.5,0.328,0.32,0,10.813,60.5,4.27
11/17/2021 10:00:27 p. m.,2021/11/17,10:00:27 p. m.,16.94,5.47,103.1,249.3,655,555,1.5,0.328,0.32,0,10.813,60.1,4.24
11/17/2021 10:00:32 p. m.,2021/11/17,10:00:32 p. m.,16.94,5.47,103.2,249.2,655,555,1.5,0.328,0.32,0,10.811,61.2,4.32
11/17/2021 10:00:37 p. m.,2021/11/17,10:00:37 p. m.,16.94,5.47,103.2,249.2,655,555,1.5,0.328,0.32,0,10.811,61.3,4.33
11/17/2021 10:00:42 p. m.,2021/11/17,10:00:42 p. m.,16.94,5.47,103.2,249.2,655,555,1.5,0.328,0.32,0,10.813,61.2,4.32
11/17/2021 10:00:47 p. m.,2021/11/17,10:00:47 p. m.,16.94,5.47,103.2,249.2,655,555,1.5,0.328,0.32,0,10.814,60.6,4.27
11/17/2021 10:00:52 p. m.,2021/11/17,10:00:52 p. m.,16.94,5.47,103.2,249.2,656,555,1.5,0.328,0.32,0,10.815,60.6,4.27
11/17/2021 10:00:57 p. m.,2021/11/17,10:00:57 p. m.,16.94,5.47,103.2,249.2,656,555,1.5,0.328,0.32,0,10.814,60.5,4.27
11/17/2021 10:01:02 p. m.,2021/11/17,10:01:02 p. m.,16.94,5.47,103.2,249.2,656,555,1.5,0.328,0.32,0,10.815,60,4.24
11/17/2021 10:01:07 p. m.,2021/11/17,10:01:07 p. m.,16.94,5.47,103.2,249.2,656,555,1.5,0.328,0.32,0,10.813,59.6,4.21
11/17/2021 10:01:12 p. m.,2021/11/17,10:01:12 p. m.,16.94,5.47,103.2,249.2,656,555,1.5,0.328,0.32,0,10.812,59.7,4.21
11/17/2021 10:01:17 p. m.,2021/11/17,10:01:17 p. m.,16.94,5.47,103.2,249.2,656,555,1.5,0.328,0.32,0,10.812,60.7,4.28
11/17/2021 10:01:22 p. m.,2021/11/17,10:01:22 p. m.,16.94,5.47,103.2,249.3,656,555,1.5,0.328,0.32,0,10.812,60.8,4.29
11/17/2021 10:01:27 p. m.,2021/11/17,10:01:27 p. m.,16.93,5.47,103.2,249.3,656,555,1.5,0.328,0.32,0,10.812,60.4,4.26
11/17/2021 10:01:32 p. m.,2021/11/17,10:01:32 p. m.,16.93,5.47,103.2,249.3,656,555,1.5,0.328,0.32,0,10.81,60.1,4.24
11/17/2021 10:01:37 p. m.,2021/11/17,10:01:37 p. m.,16.93,5.47,103.2,249.3,656,555,1.5,0.328,0.32,0,10.813,60.4,4.26
11/17/2021 10:01:42 p. m.,2021/11/17,10:01:42 p. m.,16.93,5.47,103.3,249.3,656,555,1.5,0.328,0.32,0,10.813,60.2,4.25
11/17/2021 10:01:47 p. m.,2021/11/17,10:01:47 p. m.,16.93,5.47,103.2,249.3,656,555,1.5,0.328,0.32,0,10.813,59.9,4.23
11/17/2021 10:01:52 p. m.,2021/11/17,10:01:52 p. m.,16.93,5.47,103.3,249.3,656,555,1.5,0.328,0.32,0,10.812,59.5,4.2
11/17/2021 10:01:57 p. m.,2021/11/17,10:01:57 p. m.,16.93,5.47,103.3,249.3,656,555,1.5,0.328,0.32,0,10.813,59.4,4.19
11/17/2021 10:02:02 p. m.,2021/11/17,10:02:02 p. m.,16.93,5.47,103.2,249.3,656,555,1.5,0.328,0.32,0,10.813,59.5,4.2
11/17/2021 10:02:07 p. m.,2021/11/17,10:02:07 p. m.,16.93,5.47,103.1,249.3,656,555,1.5,0.328,0.32,0,10.814,59.5,4.2
11/17/2021 10:02:12 p. m.,2021/11/17,10:02:12 p. m.,16.93,5.47,103.2,249.4,656,555,1.5,0.328,0.32,0,10.814,59.6,4.21
11/17/2021 10:02:17 p. m.,2021/11/17,10:02:17 p. m.,16.93,5.47,103.2,249.4,656,555,1.5,0.328,0.32,0,10.813,59.8,4.22
11/17/2021 10:02:22 p. m.,2021/11/17,10:02:22 p. m.,16.93,5.47,103.2,249.4,655,555,1.5,0.328,0.32,0,10.812,59.9,4.23
11/17/2021 10:02:27 p. m.,2021/11/17,10:02:27 p. m.,16.93,5.47,103.3,249.4,656,555,1.5,0.328,0.32,0,10.811,60,4.23
11/17/2021 10:02:32 p. m.,2021/11/17,10:02:32 p. m.,16.93,5.47,103.3,249.4,655,555,1.5,0.328,0.32,0,10.813,60.4,4.26
11/17/2021 10:02:37 p. m.,2021/11/17,10:02:37 p. m.,16.93,5.47,103.3,249.4,656,555,1.5,0.328,0.32,0,10.811,61.2,4.32
11/17/2021 10:02:42 p. m.,2021/11/17,10:02:42 p. m.,16.93,5.47,103.3,249.4,656,555,1.5,0.328,0.32,0,10.81,61.3,4.33
11/17/2021 10:02:47 p. m.,2021/11/17,10:02:47 p. m.,16.93,5.47,103.3,249.4,656,555,1.5,0.328,0.32,0,10.809,60.9,4.29
11/17/2021 10:02:52 p. m.,2021/11/17,10:02:52 p. m.,16.93,5.47,103.3,249.4,656,555,1.5,0.328,0.32,0,10.808,60.5,4.26
11/17/2021 10:02:57 p. m.,2021/11/17,10:02:57 p. m.,16.93,5.47,103.3,249.4,656,555,1.5,0.328,0.32,0,10.809,60.2,4.24
11/17/2021 10:03:02 p. m.,2021/11/17,10:03:02 p. m.,16.93,5.47,103.3,249.4,656,555,1.5,0.328,0.32,0,10.812,60,4.23
11/17/2021 10:03:07 p. m.,2021/11/17,10:03:07 p. m.,16.93,5.47,103.3,249.4,656,555,1.5,0.328,0.32,0,10.812,59.8,4.22
11/17/2021 10:03:12 p. m.,2021/11/17,10:03:12 p. m.,16.93,5.47,103.2,249.4,656,555,1.5,0.328,0.32,0,10.812,59.8,4.22
11/17/2021 10:03:17 p. m.,2021/11/17,10:03:17 p. m.,16.93,5.47,103.3,249.4,656,555,1.5,0.328,0.32,0,10.812,60.3,4.25
11/17/2021 10:03:22 p. m.,2021/11/17,10:03:22 p. m.,16.93,5.47,103.3,249.4,656,555,1.5,0.328,0.32,0,10.812,59.8,4.22
11/17/2021 10:03:27 p. m.,2021/11/17,10:03:27 p. m.,16.93,5.47,103.3,249.4,655,555,1.5,0.328,0.32,0,10.812,59.5,4.2
11/17/2021 10:03:32 p. m.,2021/11/17,10:03:32 p. m.,16.93,5.47,103.3,249.4,656,555,1.5,0.328,0.32,0,10.813,59.4,4.19
11/17/2021 10:03:37 p. m.,2021/11/17,10:03:37 p. m.,16.93,5.47,103.3,249.5,655,555,1.5,0.328,0.32,0,10.813,59.4,4.19
11/17/2021 10:03:42 p. m.,2021/11/17,10:03:42 p. m.,16.92,5.47,103.3,249.5,656,555,1.5,0.328,0.32,0,10.814,59.4,4.19
11/17/2021 10:03:47 p. m.,2021/11/17,10:03:47 p. m.,16.92,5.47,103.3,249.5,656,555,1.5,0.328,0.32,0,10.813,59.7,4.21
11/17/2021 10:03:52 p. m.,2021/11/17,10:03:52 p. m.,16.92,5.47,103.3,249.5,656,555,1.5,0.328,0.32,0,10.815,59.6,4.21
11/17/2021 10:03:57 p. m.,2021/11/17,10:03:57 p. m.,16.92,5.47,103.2,249.5,656,555,1.5,0.328,0.32,0,10.815,60.1,4.25
11/17/2021 10:04:02 p. m.,2021/11/17,10:04:02 p. m.,16.92,5.47,103.3,249.5,656,555,1.5,0.328,0.32,0,10.814,60.7,4.29
11/17/2021 10:04:07 p. m.,2021/11/17,10:04:07 p. m.,16.92,5.47,103.3,249.5,656,555,1.5,0.328,0.32,0,10.815,60.4,4.27
11/17/2021 10:04:12 p. m.,2021/11/17,10:04:12 p. m.,16.92,5.47,103.3,249.6,656,555,1.5,0.328,0.32,0,10.815,60.1,4.24
11/17/2021 10:04:17 p. m.,2021/11/17,10:04:17 p. m.,16.92,5.46,103.3,249.6,656,555,1.5,0.328,0.32,0,10.813,60,4.23
11/17/2021 10:04:22 p. m.,2021/11/17,10:04:22 p. m.,16.92,5.46,103.3,249.6,656,555,1.5,0.328,0.32,0,10.814,60.3,4.26
11/17/2021 10:04:27 p. m.,2021/11/17,10:04:27 p. m.,16.92,5.46,103.3,249.6,656,555,1.5,0.328,0.32,0,10.814,60.2,4.25
11/17/2021 10:04:32 p. m.,2021/11/17,10:04:32 p. m.,16.92,5.46,103.3,249.6,656,555,1.5,0.328,0.32,0,10.813,60.1,4.24
11/17/2021 10:04:37 p. m.,2021/11/17,10:04:37 p. m.,16.91,5.46,103.3,249.6,656,555,1.5,0.328,0.32,0,10.813,60.1,4.24
11/17/2021 10:04:42 p. m.,2021/11/17,10:04:42 p. m.,16.91,5.47,103.3,249.6,656,555,1.5,0.328,0.32,0,10.813,60.2,4.25
11/17/2021 10:04:47 p. m.,2021/11/17,10:04:47 p. m.,16.91,5.47,103.3,249.6,656,555,1.5,0.328,0.32,0,10.81,60.2,4.25
11/17/2021 10:04:52 p. m.,2021/11/17,10:04:52 p. m.,16.91,5.47,103.2,249.6,656,555,1.5,0.328,0.32,0,10.811,60,4.23
11/17/2021 10:04:57 p. m.,2021/11/17,10:04:57 p. m.,16.91,5.47,103.3,249.6,656,555,1.5,0.328,0.32,0,10.812,59.5,4.2
11/17/2021 10:05:02 p. m.,2021/11/17,10:05:02 p. m.,16.91,5.46,103.3,249.7,656,555,1.5,0.328,0.32,0,10.811,60,4.23
11/17/2021 10:05:07 p. m.,2021/11/17,10:05:07 p. m.,16.91,5.46,103.3,249.7,656,555,1.5,0.328,0.32,0,10.811,61.3,4.33
11/17/2021 10:05:12 p. m.,2021/11/17,10:05:12 p. m.,16.91,5.46,103.3,249.7,656,555,1.5,0.328,0.32,0,10.809,62,4.38
11/17/2021 10:05:17 p. m.,2021/11/17,10:05:17 p. m.,16.91,5.46,103.3,249.7,656,555,1.5,0.328,0.32,0,10.811,61.6,4.35
11/17/2021 10:05:22 p. m.,2021/11/17,10:05:22 p. m.,16.91,5.46,103.3,249.7,656,555,1.5,0.328,0.32,0,10.811,61.3,4.33
11/17/2021 10:05:27 p. m.,2021/11/17,10:05:27 p. m.,16.91,5.46,103.3,249.7,655,555,1.5,0.328,0.32,0,10.811,61.3,4.32
11/17/2021 10:05:32 p. m.,2021/11/17,10:05:32 p. m.,16.91,5.46,103.3,249.7,656,555,1.5,0.328,0.32,0,10.812,61.3,4.33
11/17/2021 10:05:37 p. m.,2021/11/17,10:05:37 p. m.,16.91,5.46,103.3,249.7,655,555,1.5,0.328,0.32,0,10.813,61.1,4.32
11/17/2021 10:05:42 p. m.,2021/11/17,10:05:42 p. m.,16.91,5.46,103.3,249.8,656,555,1.5,0.328,0.32,0,10.814,60.7,4.29
11/17/2021 10:05:47 p. m.,2021/11/17,10:05:47 p. m.,16.91,5.46,103.4,249.8,655,555,1.5,0.328,0.32,0,10.811,60.7,4.28
11/17/2021 10:05:52 p. m.,2021/11/17,10:05:52 p. m.,16.91,5.46,103.4,249.8,656,555,1.5,0.328,0.32,0,10.811,60.8,4.29
11/17/2021 10:05:57 p. m.,2021/11/17,10:05:57 p. m.,16.91,5.46,103.3,249.8,656,555,1.5,0.328,0.32,0,10.812,61.5,4.34
11/17/2021 10:06:02 p. m.,2021/11/17,10:06:02 p. m.,16.91,5.46,103.4,249.8,656,555,1.5,0.328,0.32,0,10.813,61.9,4.37
11/17/2021 10:06:07 p. m.,2021/11/17,10:06:07 p. m.,16.91,5.46,103.4,249.8,656,555,1.5,0.328,0.32,0,10.812,61.6,4.35
11/17/2021 10:06:12 p. m.,2021/11/17,10:06:12 p. m.,16.91,5.46,103.3,249.8,656,555,1.5,0.328,0.32,0,10.811,61.4,4.33
11/17/2021 10:06:17 p. m.,2021/11/17,10:06:17 p. m.,16.91,5.46,103.4,249.8,656,555,1.5,0.328,0.32,0,10.809,61.2,4.32
11/17/2021 10:06:22 p. m.,2021/11/17,10:06:22 p. m.,16.91,5.46,103.3,249.8,656,555,1.5,0.328,0.32,0,10.811,60.9,4.3
11/17/2021 10:06:27 p. m.,2021/11/17,10:06:27 p. m.,16.91,5.46,103.3,249.8,655,555,1.5,0.328,0.32,0,10.811,60.4,4.26
11/17/2021 10:06:32 p. m.,2021/11/17,10:06:32 p. m.,16.91,5.46,103.3,249.8,656,555,1.5,0.328,0.32,0,10.812,60.2,4.25
11/17/2021 10:06:37 p. m.,2021/11/17,10:06:37 p. m.,16.91,5.46,103.4,249.8,655,555,1.5,0.328,0.32,0,10.811,61,4.31
11/17/2021 10:06:42 p. m.,2021/11/17,10:06:42 p. m.,16.9,5.46,103.4,249.8,656,555,1.5,0.328,0.32,0,10.81,61.4,4.33
11/17/2021 10:06:47 p. m.,2021/11/17,10:06:47 p. m.,16.9,5.46,103.4,249.8,656,555,1.5,0.328,0.32,0,10.811,61.1,4.31
11/17/2021 10:06:52 p. m.,2021/11/17,10:06:52 p. m.,16.9,5.46,103.4,249.8,655,555,1.5,0.328,0.32,0,10.812,61,4.3
11/17/2021 10:06:57 p. m.,2021/11/17,10:06:57 p. m.,16.9,5.46,103.4,249.9,655,555,1.5,0.328,0.32,0,10.81,61,4.3
11/17/2021 10:07:02 p. m.,2021/11/17,10:07:02 p. m.,16.9,5.46,103.4,249.8,655,555,1.5,0.328,0.32,0,10.811,60.9,4.3
11/17/2021 10:07:07 p. m.,2021/11/17,10:07:07 p. m.,16.9,5.46,103.4,249.8,655,555,1.5,0.328,0.32,0,10.81,60.5,4.27
11/17/2021 10:07:12 p. m.,2021/11/17,10:07:12 p. m.,16.9,5.46,103.4,249.9,655,555,1.5,0.328,0.32,0,10.81,60.1,4.24
11/17/2021 10:07:17 p. m.,2021/11/17,10:07:17 p. m.,16.9,5.46,103.4,249.9,655,555,1.5,0.328,0.32,0,10.81,59.6,4.21
11/17/2021 10:07:22 p. m.,2021/11/17,10:07:22 p. m.,16.9,5.46,103.4,249.9,655,555,1.5,0.328,0.32,0,10.811,59.5,4.2
11/17/2021 10:07:27 p. m.,2021/11/17,10:07:27 p. m.,16.9,5.46,103.5,249.9,655,555,1.5,0.328,0.32,0,10.811,59.5,4.2
11/17/2021 10:07:32 p. m.,2021/11/17,10:07:32 p. m.,16.9,5.46,103.4,249.8,656,555,1.5,0.328,0.32,0,10.811,60.1,4.24
11/17/2021 10:07:37 p. m.,2021/11/17,10:07:37 p. m.,16.9,5.46,103.4,249.8,656,555,1.5,0.328,0.32,0,10.811,60.4,4.26
11/17/2021 10:07:42 p. m.,2021/11/17,10:07:42 p. m.,16.9,5.46,103.4,249.9,656,555,1.5,0.328,0.32,0,10.812,60,4.24
11/17/2021 10:07:47 p. m.,2021/11/17,10:07:47 p. m.,16.89,5.46,103.4,249.9,655,555,1.5,0.328,0.32,0,10.813,60,4.24
11/17/2021 10:07:52 p. m.,2021/11/17,10:07:52 p. m.,16.89,5.46,103.3,249.9,656,555,1.5,0.328,0.32,0,10.814,60.5,4.27
11/17/2021 10:07:57 p. m.,2021/11/17,10:07:57 p. m.,16.89,5.46,103.4,249.8,656,555,1.5,0.328,0.32,0,10.813,60.5,4.27
11/17/2021 10:08:02 p. m.,2021/11/17,10:08:02 p. m.,16.89,5.46,103.3,249.8,656,555,1.5,0.328,0.32,0,10.812,60.6,4.28
11/17/2021 10:08:07 p. m.,2021/11/17,10:08:07 p. m.,16.89,5.46,103.5,249.8,656,555,1.5,0.328,0.32,0,10.812,60.5,4.27
11/17/2021 10:08:12 p. m.,2021/11/17,10:08:12 p. m.,16.89,5.46,103.3,249.9,656,555,1.5,0.328,0.32,0,10.813,60.1,4.25
11/17/2021 10:08:17 p. m.,2021/11/17,10:08:17 p. m.,16.89,5.46,103.4,249.9,656,555,1.5,0.328,0.32,0,10.812,60,4.24
11/17/2021 10:08:22 p. m.,2021/11/17,10:08:22 p. m.,16.89,5.46,103.4,249.9,656,555,1.5,0.328,0.32,0,10.813,60.1,4.24
11/17/2021 10:08:27 p. m.,2021/11/17,10:08:27 p. m.,16.89,5.46,103.4,249.9,656,555,1.5,0.328,0.32,0,10.812,60.4,4.27
11/17/2021 10:08:32 p. m.,2021/11/17,10:08:32 p. m.,16.89,5.46,103.4,249.9,656,555,1.5,0.328,0.32,0,10.812,60.8,4.3
11/17/2021 10:08:37 p. m.,2021/11/17,10:08:37 p. m.,16.89,5.46,103.4,249.9,656,555,1.5,0.328,0.32,0,10.811,60.9,4.3
