Datetime,Date,Time,Temp,pH ,mV[pH],ORP[mV],EC uS/cm,EC Abs uS/cm,RES[KOhm-cm],TDS [ppt],Sal.[psu],Sigma T[sT],Press.[psi],D.O.[%],D.O.[mg/L],
11/23/2021 4:32:29 a. m.,2021/11/23,4:32:29 a. m.,13.43,4.85,134.7,315.3,690,538,1.4,0.345,0.34,0.0,10.780,39.9,3.03,
11/23/2021 4:32:34 a. m.,2021/11/23,4:32:34 a. m.,13.43,4.85,134.7,315.2,690,538,1.4,0.345,0.34,0.0,10.781,39.8,3.03,
11/23/2021 4:32:39 a. m.,2021/11/23,4:32:39 a. m.,13.43,4.85,134.7,315.2,690,538,1.4,0.345,0.34,0.0,10.782,39.7,3.02,
11/23/2021 4:32:44 a. m.,2021/11/23,4:32:44 a. m.,13.43,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.782,39.7,3.02,
11/23/2021 4:32:49 a. m.,2021/11/23,4:32:49 a. m.,13.43,4.85,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.780,39.8,3.02,
11/23/2021 4:32:54 a. m.,2021/11/23,4:32:54 a. m.,13.43,4.85,134.6,315.2,690,538,1.4,0.345,0.34,0.0,10.778,39.9,3.03,
11/23/2021 4:32:59 a. m.,2021/11/23,4:32:59 a. m.,13.43,4.85,134.6,315.2,690,538,1.4,0.345,0.34,0.0,10.779,40.0,3.04,
11/23/2021 4:33:04 a. m.,2021/11/23,4:33:04 a. m.,13.43,4.85,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.777,40.2,3.05,
11/23/2021 4:33:09 a. m.,2021/11/23,4:33:09 a. m.,13.43,4.85,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.779,40.3,3.06,
11/23/2021 4:33:14 a. m.,2021/11/23,4:33:14 a. m.,13.43,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.780,40.4,3.07,
11/23/2021 4:33:19 a. m.,2021/11/23,4:33:19 a. m.,13.43,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.779,40.5,3.07,
11/23/2021 4:33:24 a. m.,2021/11/23,4:33:24 a. m.,13.43,4.86,134.6,314.9,690,538,1.4,0.345,0.34,0.0,10.778,40.5,3.08,
11/23/2021 4:33:29 a. m.,2021/11/23,4:33:29 a. m.,13.43,4.86,134.5,314.9,690,538,1.4,0.345,0.34,0.0,10.779,40.6,3.08,
11/23/2021 4:33:34 a. m.,2021/11/23,4:33:34 a. m.,13.43,4.86,134.5,314.9,690,538,1.4,0.345,0.34,0.0,10.779,40.6,3.08,
11/23/2021 4:33:39 a. m.,2021/11/23,4:33:39 a. m.,13.43,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.779,40.7,3.09,
11/23/2021 4:33:44 a. m.,2021/11/23,4:33:44 a. m.,13.43,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.781,40.8,3.10,
11/23/2021 4:33:49 a. m.,2021/11/23,4:33:49 a. m.,13.43,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.781,40.9,3.11,
11/23/2021 4:33:54 a. m.,2021/11/23,4:33:54 a. m.,13.43,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.781,41.0,3.11,
11/23/2021 4:33:59 a. m.,2021/11/23,4:33:59 a. m.,13.43,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.779,41.1,3.12,
11/23/2021 4:34:04 a. m.,2021/11/23,4:34:04 a. m.,13.43,4.86,134.5,314.9,690,538,1.4,0.345,0.34,0.0,10.778,41.1,3.12,
11/23/2021 4:34:09 a. m.,2021/11/23,4:34:09 a. m.,13.43,4.86,134.5,314.9,690,538,1.4,0.345,0.34,0.0,10.779,41.0,3.12,
11/23/2021 4:34:14 a. m.,2021/11/23,4:34:14 a. m.,13.43,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.780,40.9,3.11,
11/23/2021 4:34:19 a. m.,2021/11/23,4:34:19 a. m.,13.43,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.782,40.8,3.10,
11/23/2021 4:34:24 a. m.,2021/11/23,4:34:24 a. m.,13.43,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.779,40.8,3.09,
11/23/2021 4:34:29 a. m.,2021/11/23,4:34:29 a. m.,13.43,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.780,40.8,3.09,
11/23/2021 4:34:34 a. m.,2021/11/23,4:34:34 a. m.,13.43,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.779,40.8,3.10,
11/23/2021 4:34:39 a. m.,2021/11/23,4:34:39 a. m.,13.43,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.781,40.9,3.11,
11/23/2021 4:34:44 a. m.,2021/11/23,4:34:44 a. m.,13.43,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.779,41.0,3.11,
11/23/2021 4:34:49 a. m.,2021/11/23,4:34:49 a. m.,13.43,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.782,41.0,3.11,
11/23/2021 4:34:54 a. m.,2021/11/23,4:34:54 a. m.,13.43,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.782,41.0,3.11,
11/23/2021 4:34:59 a. m.,2021/11/23,4:34:59 a. m.,13.43,4.85,134.7,315.1,690,538,1.4,0.345,0.34,0.0,10.782,41.0,3.11,
11/23/2021 4:35:04 a. m.,2021/11/23,4:35:04 a. m.,13.43,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.784,40.9,3.11,
11/23/2021 4:35:09 a. m.,2021/11/23,4:35:09 a. m.,13.43,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.783,40.8,3.10,
11/23/2021 4:35:14 a. m.,2021/11/23,4:35:14 a. m.,13.43,4.85,134.7,315.1,690,538,1.4,0.345,0.34,0.0,10.782,40.7,3.09,
11/23/2021 4:35:19 a. m.,2021/11/23,4:35:19 a. m.,13.43,4.85,134.7,315.1,690,538,1.4,0.345,0.34,0.0,10.782,40.5,3.08,
11/23/2021 4:35:24 a. m.,2021/11/23,4:35:24 a. m.,13.43,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.781,40.4,3.07,
11/23/2021 4:35:29 a. m.,2021/11/23,4:35:29 a. m.,13.43,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.780,40.3,3.06,
11/23/2021 4:35:34 a. m.,2021/11/23,4:35:34 a. m.,13.43,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.778,40.1,3.04,
11/23/2021 4:35:39 a. m.,2021/11/23,4:35:39 a. m.,13.43,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.780,39.9,3.03,
11/23/2021 4:35:44 a. m.,2021/11/23,4:35:44 a. m.,13.43,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.778,39.7,3.01,
11/23/2021 4:35:49 a. m.,2021/11/23,4:35:49 a. m.,13.42,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.780,39.4,2.99,
11/23/2021 4:35:54 a. m.,2021/11/23,4:35:54 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.779,39.3,2.98,
11/23/2021 4:35:59 a. m.,2021/11/23,4:35:59 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.781,39.2,2.98,
11/23/2021 4:36:04 a. m.,2021/11/23,4:36:04 a. m.,13.43,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.780,39.2,2.98,
11/23/2021 4:36:09 a. m.,2021/11/23,4:36:09 a. m.,13.43,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.781,39.3,2.99,
11/23/2021 4:36:14 a. m.,2021/11/23,4:36:14 a. m.,13.43,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.779,39.5,3.00,
11/23/2021 4:36:19 a. m.,2021/11/23,4:36:19 a. m.,13.43,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.779,39.6,3.01,
11/23/2021 4:36:24 a. m.,2021/11/23,4:36:24 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.780,39.8,3.02,
11/23/2021 4:36:29 a. m.,2021/11/23,4:36:29 a. m.,13.43,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.781,39.9,3.03,
11/23/2021 4:36:34 a. m.,2021/11/23,4:36:34 a. m.,13.42,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.783,40.0,3.04,
11/23/2021 4:36:39 a. m.,2021/11/23,4:36:39 a. m.,13.43,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.783,40.0,3.04,
11/23/2021 4:36:44 a. m.,2021/11/23,4:36:44 a. m.,13.43,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.782,40.0,3.04,
11/23/2021 4:36:49 a. m.,2021/11/23,4:36:49 a. m.,13.43,4.85,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.782,40.0,3.04,
11/23/2021 4:36:54 a. m.,2021/11/23,4:36:54 a. m.,13.43,4.85,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.782,40.1,3.04,
11/23/2021 4:36:59 a. m.,2021/11/23,4:36:59 a. m.,13.43,4.85,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.779,40.0,3.04,
11/23/2021 4:37:04 a. m.,2021/11/23,4:37:04 a. m.,13.42,4.85,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.781,40.0,3.04,
11/23/2021 4:37:09 a. m.,2021/11/23,4:37:09 a. m.,13.43,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.783,39.9,3.03,
11/23/2021 4:37:14 a. m.,2021/11/23,4:37:14 a. m.,13.43,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.783,39.9,3.03,
11/23/2021 4:37:19 a. m.,2021/11/23,4:37:19 a. m.,13.42,4.86,134.4,314.9,690,538,1.4,0.345,0.34,0.0,10.784,39.9,3.03,
11/23/2021 4:37:24 a. m.,2021/11/23,4:37:24 a. m.,13.42,4.86,134.4,314.9,690,538,1.4,0.345,0.34,0.0,10.783,40.0,3.04,
11/23/2021 4:37:29 a. m.,2021/11/23,4:37:29 a. m.,13.42,4.86,134.5,314.8,690,538,1.4,0.345,0.34,0.0,10.783,40.0,3.04,
11/23/2021 4:37:34 a. m.,2021/11/23,4:37:34 a. m.,13.42,4.86,134.6,314.9,690,538,1.4,0.345,0.34,0.0,10.783,40.0,3.04,
11/23/2021 4:37:39 a. m.,2021/11/23,4:37:39 a. m.,13.42,4.86,134.5,314.9,690,538,1.4,0.345,0.34,0.0,10.783,40.0,3.04,
11/23/2021 4:37:44 a. m.,2021/11/23,4:37:44 a. m.,13.42,4.86,134.5,314.9,690,538,1.4,0.345,0.34,0.0,10.786,39.9,3.03,
11/23/2021 4:37:49 a. m.,2021/11/23,4:37:49 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.785,39.8,3.02,
11/23/2021 4:37:54 a. m.,2021/11/23,4:37:54 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.783,39.6,3.01,
11/23/2021 4:37:59 a. m.,2021/11/23,4:37:59 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.784,39.5,3.00,
11/23/2021 4:38:04 a. m.,2021/11/23,4:38:04 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.783,39.3,2.99,
11/23/2021 4:38:09 a. m.,2021/11/23,4:38:09 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.782,39.2,2.98,
11/23/2021 4:38:14 a. m.,2021/11/23,4:38:14 a. m.,13.42,4.86,134.4,315.0,690,538,1.4,0.345,0.34,0.0,10.782,39.1,2.97,
11/23/2021 4:38:19 a. m.,2021/11/23,4:38:19 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.782,38.9,2.96,
11/23/2021 4:38:24 a. m.,2021/11/23,4:38:24 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.783,38.8,2.95,
11/23/2021 4:38:29 a. m.,2021/11/23,4:38:29 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.783,38.7,2.94,
11/23/2021 4:38:34 a. m.,2021/11/23,4:38:34 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.784,38.7,2.94,
11/23/2021 4:38:39 a. m.,2021/11/23,4:38:39 a. m.,13.42,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.783,38.7,2.94,
11/23/2021 4:38:44 a. m.,2021/11/23,4:38:44 a. m.,13.42,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.785,38.7,2.94,
11/23/2021 4:38:49 a. m.,2021/11/23,4:38:49 a. m.,13.42,4.86,134.5,314.9,690,538,1.4,0.345,0.34,0.0,10.782,38.7,2.94,
11/23/2021 4:38:54 a. m.,2021/11/23,4:38:54 a. m.,13.42,4.86,134.6,314.9,690,538,1.4,0.345,0.34,0.0,10.781,38.6,2.93,
11/23/2021 4:38:59 a. m.,2021/11/23,4:38:59 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.783,38.5,2.92,
11/23/2021 4:39:04 a. m.,2021/11/23,4:39:04 a. m.,13.42,4.85,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.783,38.5,2.92,
11/23/2021 4:39:09 a. m.,2021/11/23,4:39:09 a. m.,13.42,4.85,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.784,38.4,2.92,
11/23/2021 4:39:14 a. m.,2021/11/23,4:39:14 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.783,38.4,2.92,
11/23/2021 4:39:19 a. m.,2021/11/23,4:39:19 a. m.,13.42,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.785,38.4,2.92,
11/23/2021 4:39:24 a. m.,2021/11/23,4:39:24 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.785,38.5,2.92,
11/23/2021 4:39:29 a. m.,2021/11/23,4:39:29 a. m.,13.42,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.784,38.5,2.93,
11/23/2021 4:39:34 a. m.,2021/11/23,4:39:34 a. m.,13.42,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.784,38.6,2.93,
11/23/2021 4:39:39 a. m.,2021/11/23,4:39:39 a. m.,13.42,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.785,38.6,2.93,
11/23/2021 4:39:44 a. m.,2021/11/23,4:39:44 a. m.,13.42,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.782,38.7,2.94,
11/23/2021 4:39:49 a. m.,2021/11/23,4:39:49 a. m.,13.42,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.783,38.7,2.94,
11/23/2021 4:39:54 a. m.,2021/11/23,4:39:54 a. m.,13.42,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.783,38.7,2.94,
11/23/2021 4:39:59 a. m.,2021/11/23,4:39:59 a. m.,13.42,4.85,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.782,38.8,2.94,
11/23/2021 4:40:04 a. m.,2021/11/23,4:40:04 a. m.,13.42,4.85,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.781,38.8,2.95,
11/23/2021 4:40:09 a. m.,2021/11/23,4:40:09 a. m.,13.42,4.85,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.783,38.9,2.95,
11/23/2021 4:40:14 a. m.,2021/11/23,4:40:14 a. m.,13.42,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.784,38.9,2.96,
11/23/2021 4:40:19 a. m.,2021/11/23,4:40:19 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.784,39.0,2.96,
11/23/2021 4:40:24 a. m.,2021/11/23,4:40:24 a. m.,13.42,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.781,39.0,2.96,
11/23/2021 4:40:29 a. m.,2021/11/23,4:40:29 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.783,39.0,2.97,
11/23/2021 4:40:34 a. m.,2021/11/23,4:40:34 a. m.,13.42,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.783,39.1,2.97,
11/23/2021 4:40:39 a. m.,2021/11/23,4:40:39 a. m.,13.42,4.85,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.783,39.2,2.98,
11/23/2021 4:40:44 a. m.,2021/11/23,4:40:44 a. m.,13.42,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.782,39.3,2.98,
11/23/2021 4:40:49 a. m.,2021/11/23,4:40:49 a. m.,13.42,4.85,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.784,39.4,2.99,
11/23/2021 4:40:54 a. m.,2021/11/23,4:40:54 a. m.,13.42,4.85,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.784,39.5,3.00,
11/23/2021 4:40:59 a. m.,2021/11/23,4:40:59 a. m.,13.42,4.85,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.785,39.7,3.02,
11/23/2021 4:41:04 a. m.,2021/11/23,4:41:04 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.782,39.8,3.03,
11/23/2021 4:41:09 a. m.,2021/11/23,4:41:09 a. m.,13.42,4.85,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.785,40.0,3.04,
11/23/2021 4:41:14 a. m.,2021/11/23,4:41:14 a. m.,13.42,4.85,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.784,40.0,3.04,
11/23/2021 4:41:19 a. m.,2021/11/23,4:41:19 a. m.,13.42,4.85,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.784,40.0,3.04,
11/23/2021 4:41:24 a. m.,2021/11/23,4:41:24 a. m.,13.42,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.783,40.0,3.04,
11/23/2021 4:41:29 a. m.,2021/11/23,4:41:29 a. m.,13.42,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.783,40.0,3.04,
11/23/2021 4:41:34 a. m.,2021/11/23,4:41:34 a. m.,13.42,4.85,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.781,40.0,3.04,
11/23/2021 4:41:39 a. m.,2021/11/23,4:41:39 a. m.,13.42,4.85,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.782,40.0,3.04,
11/23/2021 4:41:44 a. m.,2021/11/23,4:41:44 a. m.,13.42,4.85,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.781,39.9,3.03,
11/23/2021 4:41:49 a. m.,2021/11/23,4:41:49 a. m.,13.42,4.85,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.781,39.9,3.03,
11/23/2021 4:41:54 a. m.,2021/11/23,4:41:54 a. m.,13.42,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.783,39.9,3.03,
11/23/2021 4:41:59 a. m.,2021/11/23,4:41:59 a. m.,13.42,4.85,134.7,315.2,690,538,1.4,0.345,0.34,0.0,10.782,39.8,3.02,
11/23/2021 4:42:04 a. m.,2021/11/23,4:42:04 a. m.,13.42,4.85,134.6,315.2,690,538,1.4,0.345,0.34,0.0,10.784,39.8,3.02,
11/23/2021 4:42:09 a. m.,2021/11/23,4:42:09 a. m.,13.42,4.85,134.6,315.2,690,538,1.4,0.345,0.34,0.0,10.783,39.7,3.02,
11/23/2021 4:42:14 a. m.,2021/11/23,4:42:14 a. m.,13.42,4.85,134.6,315.2,690,538,1.4,0.345,0.34,0.0,10.782,39.6,3.01,
11/23/2021 4:42:19 a. m.,2021/11/23,4:42:19 a. m.,13.42,4.85,134.6,315.2,690,538,1.4,0.345,0.34,0.0,10.780,39.5,3.00,
11/23/2021 4:42:24 a. m.,2021/11/23,4:42:24 a. m.,13.42,4.85,134.6,315.2,690,538,1.4,0.345,0.34,0.0,10.782,39.5,3.00,
11/23/2021 4:42:29 a. m.,2021/11/23,4:42:29 a. m.,13.42,4.86,134.6,315.2,690,538,1.4,0.345,0.34,0.0,10.784,39.4,2.99,
11/23/2021 4:42:34 a. m.,2021/11/23,4:42:34 a. m.,13.42,4.85,134.6,315.2,690,538,1.4,0.345,0.34,0.0,10.781,39.4,2.99,
11/23/2021 4:42:39 a. m.,2021/11/23,4:42:39 a. m.,13.42,4.85,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.782,39.3,2.99,
11/23/2021 4:42:44 a. m.,2021/11/23,4:42:44 a. m.,13.42,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.781,39.1,2.97,
11/23/2021 4:42:49 a. m.,2021/11/23,4:42:49 a. m.,13.42,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.782,39.0,2.96,
11/23/2021 4:42:54 a. m.,2021/11/23,4:42:54 a. m.,13.42,4.85,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.783,39.0,2.97,
11/23/2021 4:42:59 a. m.,2021/11/23,4:42:59 a. m.,13.42,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.785,39.1,2.97,
11/23/2021 4:43:04 a. m.,2021/11/23,4:43:04 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.785,39.4,2.99,
11/23/2021 4:43:09 a. m.,2021/11/23,4:43:09 a. m.,13.42,4.86,134.5,314.9,690,538,1.4,0.345,0.34,0.0,10.783,39.9,3.03,
11/23/2021 4:43:14 a. m.,2021/11/23,4:43:14 a. m.,13.42,4.86,134.5,314.9,690,538,1.4,0.345,0.34,0.0,10.783,40.4,3.07,
11/23/2021 4:43:19 a. m.,2021/11/23,4:43:19 a. m.,13.42,4.86,134.4,315.0,690,538,1.4,0.345,0.34,0.0,10.783,40.8,3.10,
11/23/2021 4:43:24 a. m.,2021/11/23,4:43:24 a. m.,13.42,4.86,134.4,315.0,690,538,1.4,0.345,0.34,0.0,10.783,41.1,3.13,
11/23/2021 4:43:29 a. m.,2021/11/23,4:43:29 a. m.,13.42,4.86,134.4,315.0,690,538,1.4,0.345,0.34,0.0,10.783,41.3,3.14,
11/23/2021 4:43:34 a. m.,2021/11/23,4:43:34 a. m.,13.42,4.86,134.4,315.0,690,538,1.4,0.345,0.34,0.0,10.781,41.5,3.15,
11/23/2021 4:43:39 a. m.,2021/11/23,4:43:39 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.783,41.5,3.15,
11/23/2021 4:43:44 a. m.,2021/11/23,4:43:44 a. m.,13.42,4.86,134.4,315.0,690,538,1.4,0.345,0.34,0.0,10.785,41.5,3.15,
11/23/2021 4:43:49 a. m.,2021/11/23,4:43:49 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.782,41.4,3.15,
11/23/2021 4:43:54 a. m.,2021/11/23,4:43:54 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.781,41.3,3.14,
11/23/2021 4:43:59 a. m.,2021/11/23,4:43:59 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.782,41.3,3.13,
11/23/2021 4:44:04 a. m.,2021/11/23,4:44:04 a. m.,13.42,4.86,134.5,315.1,690,538,1.4,0.345,0.34,0.0,10.781,41.2,3.13,
11/23/2021 4:44:09 a. m.,2021/11/23,4:44:09 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.783,41.2,3.13,
11/23/2021 4:44:14 a. m.,2021/11/23,4:44:14 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.783,41.2,3.13,
11/23/2021 4:44:19 a. m.,2021/11/23,4:44:19 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.781,41.2,3.13,
11/23/2021 4:44:24 a. m.,2021/11/23,4:44:24 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.782,41.2,3.13,
11/23/2021 4:44:29 a. m.,2021/11/23,4:44:29 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.782,41.2,3.13,
11/23/2021 4:44:34 a. m.,2021/11/23,4:44:34 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.780,41.2,3.13,
11/23/2021 4:44:39 a. m.,2021/11/23,4:44:39 a. m.,13.42,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.783,41.2,3.13,
11/23/2021 4:44:44 a. m.,2021/11/23,4:44:44 a. m.,13.42,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.780,41.1,3.12,
11/23/2021 4:44:49 a. m.,2021/11/23,4:44:49 a. m.,13.41,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.781,41.1,3.12,
11/23/2021 4:44:54 a. m.,2021/11/23,4:44:54 a. m.,13.41,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.781,41.1,3.12,
11/23/2021 4:44:59 a. m.,2021/11/23,4:44:59 a. m.,13.41,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.783,41.0,3.12,
11/23/2021 4:45:04 a. m.,2021/11/23,4:45:04 a. m.,13.41,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.784,41.0,3.11,
11/23/2021 4:45:09 a. m.,2021/11/23,4:45:09 a. m.,13.41,4.86,134.5,315.0,690,538,1.4,0.345,0.34,0.0,10.780,40.8,3.10,
11/23/2021 4:45:14 a. m.,2021/11/23,4:45:14 a. m.,13.41,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.781,40.8,3.10,
11/23/2021 4:45:19 a. m.,2021/11/23,4:45:19 a. m.,13.41,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.780,41.0,3.12,
11/23/2021 4:45:24 a. m.,2021/11/23,4:45:24 a. m.,13.41,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.783,41.3,3.14,
11/23/2021 4:45:29 a. m.,2021/11/23,4:45:29 a. m.,13.41,4.86,134.6,315.0,690,538,1.4,0.345,0.34,0.0,10.782,41.6,3.16,
11/23/2021 4:45:34 a. m.,2021/11/23,4:45:34 a. m.,13.41,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.784,41.7,3.17,
11/23/2021 4:45:39 a. m.,2021/11/23,4:45:39 a. m.,13.41,4.85,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.785,41.8,3.18,
11/23/2021 4:45:44 a. m.,2021/11/23,4:45:44 a. m.,13.41,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.786,42.0,3.19,
11/23/2021 4:45:49 a. m.,2021/11/23,4:45:49 a. m.,13.41,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.785,42.1,3.20,
11/23/2021 4:45:54 a. m.,2021/11/23,4:45:54 a. m.,13.41,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.786,42.1,3.20,
11/23/2021 4:45:59 a. m.,2021/11/23,4:45:59 a. m.,13.41,4.86,134.6,315.1,690,538,1.4,0.345,0.34,0.0,10.784,42.2,3.20,
